ID_Kecamatan;Nama_Kecamatan;UMKM_Makanan (unit);UMKM_Kerajinan (unit);UMKM_Fashion (unit);UMKM_Jasa (unit);UMKM_Lainnya (unit);Kepadatan_Penduduk (per km2);Pertumbuhan_Penduduk (%);Jarak_ke_Ibukota (km)
32.17.09;Batujajar;57;51;315;47;17;3670;2.1;15.2
32.17.10;Cihampelas;142;256;172;28;11;3143;2.53;15.5
32.17.04;Cikalong Wetan;48;NA;151;11;0;1416;1.62;24.2
32.17.05;Cililin;NA;NA;NA;NA;NA;981;1.70;22.8
32.17.13;Cipatat;67;149;192;25;12;1183;1.58;24
32.17.12;Cipeundeuy;52;66;178;20;0;954;1.59;34.7
32.17.03;Cipongkor;84;108;473;106;10;1071;1.96;40.1
32.17.01;Cisarua;99;25;149;48;21;1051;1.65;10.2
32.17.06;Gununghalu;NA;NA;NA;NA;NA;520;1.42;50.9
32.17.08;Lembang;386;NA;389;98;45;1044;1.28;22.2
32.17.02;Ngamprah;381;94;738;63;30;5834;1.38;0
32.17.16;Padalarang;148;139;303;NA;21;3735;1.5;7.3
32.17.14;Parongpong;184;31;145;20;17;2639;1.42;13.5
;Rongga;117;31;305;27;2;573;1.59;45.9
;Saguling;15;21;NA;17;0;365;2.1;24.8
;Sindangkerta;NA;NA;NA;NA;NA;1148;1.77;40.5
